window_id,time_end_s,dominant_f1_hz,dominant_f2_hz,dominant_f3_hz,index,state,processing_us,e2e_ms
86,52.224,5.62,6.1,6.35,0.605432,ALERT,1067,40.157
87,52.736,5.62,5.62,6.35,0.620709,ALERT,920,36.471
88,53.248,5.62,5.62,6.35,0.613203,ALERT,800,29.493
89,53.76,5.62,0.24,6.35,0.599751,ALERT,915,29.543
90,54.272,5.62,5.86,5.62,0.606544,ALERT,872,34.67
91,54.784,5.62,5.62,5.62,0.637824,ALERT,988,27.195
92,55.296,5.62,5.62,5.62,0.652181,ALERT,925,25.272
93,55.808,5.62,5.62,5.62,0.624389,ALERT,624,61.767
94,56.32,5.62,5.62,5.62,0.600648,ALERT,1078,35.3
95,56.832,5.62,5.62,5.62,0.625643,ALERT,1021,31.004
96,57.344,5.62,5.62,5.62,0.673639,ALERT,1007,73.094
97,57.856,5.62,5.62,5.62,0.611969,ALERT,806,37.081
98,58.368,0.24,0.24,5.86,0.473132,ALERT,915,27.761
99,58.88,0.24,0.24,5.62,0.39466,ALERT,927,27.548
100,59.392,0.24,0.24,5.62,0.368595,ALERT,775,26.631
