window_id,time_end_s,dominant_f1_hz,dominant_f2_hz,dominant_f3_hz,index,state,processing_us,e2e_ms
0,8.192,50.05,0.24,0.24,0.00631,NORMAL,787,31.053
1,8.704,50.05,0.24,0.24,0.006285,NORMAL,965,33.045
2,9.216,50.05,0.24,0.24,0.006271,NORMAL,936,24.117
3,9.728,50.05,0.24,0.24,0.005767,NORMAL,1007,51.35
4,10.24,50.05,0.24,0.24,0.005016,NORMAL,777,32.026
5,10.752,50.05,0.24,0.24,0.004933,NORMAL,1084,37.226
6,11.264,50.05,0.24,0.24,0.004817,NORMAL,776,30.369
7,11.776,50.05,0.24,0.24,0.004656,NORMAL,930,28.448
8,12.288,50.05,0.24,0.24,0.005224,NORMAL,754,30.662
9,12.8,50.05,0.24,0.24,0.005351,NORMAL,1040,29.658
10,13.312,50.05,0.24,0.24,0.00457,NORMAL,936,35.666
11,13.824,50.05,0.24,0.24,0.004145,NORMAL,803,119.888
12,14.336,50.05,0.24,0.24,0.004529,NORMAL,854,28.761
13,14.848,50.05,0.24,0.24,0.005097,NORMAL,1165,34.771
14,15.36,50.05,0.24,0.24,0.006151,NORMAL,992,45.279
15,15.872,50.05,0.24,0.24,0.008684,NORMAL,1175,50.665
16,16.384,50.05,0.24,0.24,0.01013,NORMAL,817,27.638
17,16.896,50.05,0.24,0.24,0.008534,NORMAL,1084,309.961
18,17.408,50.05,0.24,0.24,0.007984,NORMAL,799,175.792
19,17.92,50.05,0.24,0.24,0.009794,NORMAL,731,51.168
20,18.432,50.05,0.24,0.24,0.011454,NORMAL,853,23.524
21,18.944,50.05,0.24,0.24,0.010422,NORMAL,1020,65.486
22,19.456,50.05,0.24,0.24,0.009301,NORMAL,586,36.698
23,19.968,50.05,0.24,0.24,0.010892,NORMAL,911,60.6
24,20.48,50.05,0.24,0.24,0.013843,NORMAL,826,25.457
25,20.992,50.05,0.24,0.24,0.014329,NORMAL,897,33.212
26,21.504,50.05,0.24,0.24,0.01543,NORMAL,1064,30.133
27,22.016,50.05,0.24,0.24,0.016474,NORMAL,877,26.663
