window_id,time_end_s,dominant_f1_hz,dominant_f2_hz,dominant_f3_hz,index,state,processing_us
0,8.192,0.24,0.24,0.24,0.017291,NORMAL,3471
1,8.704,0.24,0.24,0.24,0.019179,NORMAL,3230
2,9.216,0.24,0.24,0.24,0.020108,NORMAL,2959
3,9.728,0.24,0.24,0.24,0.019528,NORMAL,3437
4,10.24,0.24,0.24,0.24,0.021440,NORMAL,1368
5,10.752,0.24,0.24,0.24,0.024942,NORMAL,1572
6,11.264,0.24,0.24,0.24,0.023573,NORMAL,3138
7,11.776,0.24,0.24,0.24,0.020644,NORMAL,1776
8,12.288,0.24,0.24,0.24,0.020141,NORMAL,3978
9,12.8,0.24,0.24,0.24,0.020791,NORMAL,3207
10,13.312,0.24,0.24,0.24,0.020055,NORMAL,1745
11,13.824,0.24,0.24,0.24,0.019945,NORMAL,4606
12,14.336,0.24,0.24,0.49,0.021540,NORMAL,3908
13,14.848,0.24,0.24,0.24,0.021272,NORMAL,4688
14,15.36,0.24,0.24,0.24,0.016196,NORMAL,1618
15,15.872,0.24,0.24,0.24,0.012505,NORMAL,3524
16,16.384,0.24,0.24,0.24,0.012286,NORMAL,3605
17,16.896,0.49,0.24,0.24,0.014379,NORMAL,3340
18,17.408,0.24,0.24,0.24,0.015978,NORMAL,3408
19,17.92,0.24,0.24,0.24,0.017959,NORMAL,3712
20,18.432,0.24,0.24,0.24,0.018160,NORMAL,3399
21,18.944,0.24,0.24,0.24,0.016880,NORMAL,3394
22,19.456,0.24,0.24,0.24,0.016840,NORMAL,3698
23,19.968,0.24,0.24,0.24,0.018426,NORMAL,4257
24,20.48,50.05,0.24,0.24,0.018831,NORMAL,3408
25,20.992,0.24,0.24,0.24,0.017401,NORMAL,2909
26,21.504,0.24,0.24,0.24,0.016754,NORMAL,3279
27,22.016,0.24,0.24,0.24,0.017525,NORMAL,3497
28,22.528,0.24,0.24,0.24,0.020035,NORMAL,3500
29,23.04,0.24,0.24,0.24,0.020582,NORMAL,3377
30,23.552,0.24,0.24,0.24,0.018802,NORMAL,3353
31,24.064,0.24,0.49,0.24,0.016235,NORMAL,3375
32,24.576,0.24,0.24,0.24,0.016152,NORMAL,3224
33,25.088,0.24,0.24,0.24,0.017523,NORMAL,3489
34,25.6,0.24,0.24,0.24,0.016073,NORMAL,1476
35,26.112,0.24,0.24,0.24,0.012508,NORMAL,3821
36,26.624,0.24,0.24,0.24,0.011023,NORMAL,3121
37,27.136,0.24,0.24,0.24,0.010968,NORMAL,3424
38,27.648,50.05,0.24,0.24,0.010387,NORMAL,3762
39,28.16,50.05,0.24,0.24,0.009621,NORMAL,3500
40,28.672,50.05,0.24,0.24,0.010494,NORMAL,3292
41,29.184,50.05,0.24,0.24,0.012064,NORMAL,3728
42,29.696,50.05,0.24,0.24,0.012120,NORMAL,3186
43,30.208,50.05,0.24,0.24,0.011197,NORMAL,3438
44,30.72,50.05,0.24,0.24,0.011466,NORMAL,3860
45,31.232,0.24,0.24,0.24,0.012367,NORMAL,1575
46,31.744,0.24,0.24,0.24,0.011202,NORMAL,3496
47,32.256,0.24,0.24,0.24,0.009618,NORMAL,3849
48,32.768,0.24,0.24,0.24,0.010230,NORMAL,4188
49,33.28,0.24,0.24,0.24,0.012714,NORMAL,4072
50,33.792,0.24,0.24,0.24,0.014156,NORMAL,3308
51,34.304,0.24,0.24,0.24,0.013203,NORMAL,3481
52,34.816,0.24,0.24,0.24,0.015100,NORMAL,3513
53,35.328,0.24,0.24,0.24,0.021179,NORMAL,3267
54,35.84,50.05,0.24,0.24,0.026087,NORMAL,1796
55,36.352,50.05,0.24,0.24,0.022965,NORMAL,3355
56,36.864,50.05,0.24,0.24,0.022163,NORMAL,1839
57,37.376,50.05,0.24,0.24,0.023797,NORMAL,3430
58,37.888,50.05,0.24,0.73,0.023766,NORMAL,3345
59,38.4,50.05,0.24,0.73,0.020303,NORMAL,3398
