sample_id,time_ms,fsr1,fsr2,fsr3
1240,2534,331,222,234
1241,2536,360,222,234
1242,2538,355,222,233
1243,2540,346,228,231
1244,2542,316,223,233
1245,2544,314,224,233
1246,2546,333,224,234
1247,2548,308,222,234
1248,2550,316,223,235
1249,2552,321,223,235
1250,2554,320,222,236
1251,2556,349,223,234
1252,2558,345,223,236
1253,2560,327,223,235
1254,2562,304,218,234
1255,2564,304,223,236
1256,2566,321,224,234
1257,2568,321,224,233
1258,2570,313,224,236
1259,2572,328,224,232
1260,2574,328,223,233
1261,2576,342,225,236
1262,2578,339,223,235
1263,2580,327,224,239
1264,2582,301,224,235
1265,2584,294,224,234
1266,2586,321,226,236
1267,2588,322,224,235
1268,2590,321,225,235
1269,2592,316,225,236
1270,2594,318,225,235
1271,2596,341,225,237
1272,2598,349,225,238
1273,2600,319,224,236
1274,2602,301,225,236
1275,2604,297,227,237
1276,2606,324,226,237
1277,2608,328,226,237
1278,2610,316,227,237
1279,2612,331,227,234
1280,2614,308,226,237
1281,2616,350,227,237
1282,2618,334,228,237
1283,2620,318,227,238
1284,2622,309,227,236
1285,2624,300,226,237
1286,2626,324,228,238
1287,2628,314,227,238
1288,2630,327,227,237
1289,2632,325,227,239
1290,2634,321,227,236
1291,2636,345,227,238
1292,2638,351,226,238
1293,2640,330,228,237
1294,2642,313,227,237
1295,2644,283,227,233
1296,2646,324,228,240
1297,2648,325,228,238
1298,2650,324,228,239
1299,2652,318,227,237
1300,2654,331,228,239
1301,2656,354,228,238
1302,2658,351,228,238
1303,2660,325,228,239
1304,2662,298,228,239
1305,2664,303,228,237
1306,2666,324,228,239
1307,2668,324,228,239
1308,2670,314,228,239
1309,2672,318,228,239
1310,2674,335,228,237
1311,2676,349,228,240
1312,2678,356,228,237
1313,2680,331,228,240
1314,2682,301,228,239
1315,2684,318,229,240
1316,2686,329,228,240
1317,2688,320,228,239
1318,2690,318,228,238
1319,2692,331,229,240
1320,2694,324,229,239
1321,2696,355,229,240
1322,2698,348,227,239
1323,2700,330,228,239
1324,2702,312,228,240
1325,2704,290,228,237
1326,2706,331,229,240
1327,2708,330,228,239
1328,2710,320,228,239
1329,2712,321,228,239
1330,2714,330,229,240
1331,2716,350,229,240
1332,2718,351,229,241
1333,2720,338,229,240
1334,2722,309,230,239
1335,2724,303,230,239
1336,2726,320,227,239
1337,2728,328,229,240
1338,2730,323,228,239
1339,2732,322,229,238
1340,2734,334,230,240
1341,2736,334,229,239
1342,2738,352,229,241
1343,2740,326,229,240
1344,2742,306,229,239
1345,2744,307,229,242
1346,2746,325,229,241
1347,2748,324,230,241
1348,2750,320,229,240
1349,2752,328,228,239
1350,2754,325,229,240
1351,2756,354,228,240
1352,2758,355,229,240
1353,2760,332,228,240
1354,2762,311,228,239
1355,2764,296,229,238
1356,2766,332,229,240
1357,2768,317,228,240
1358,2770,325,228,238
1359,2772,328,228,240
1360,2774,335,228,240
1361,2776,352,229,241
1362,2778,354,228,241
1363,2780,349,229,241
1364,2782,306,228,239
1365,2784,307,230,243
1366,2786,325,229,241
1367,2788,325,229,240
1368,2790,321,229,239
1369,2792,328,229,241
1370,2794,335,229,243
1371,2796,349,230,240
1372,2798,348,230,242
1373,2800,338,230,240
1374,2802,304,229,240
1375,2804,302,229,241
1376,2806,327,229,238
1377,2808,314,229,242
1378,2810,323,229,241
1379,2812,322,228,241
1380,2814,331,228,238
1381,2816,349,229,241
1382,2818,349,228,239
1383,2820,330,229,241
1384,2822,300,229,239
1385,2824,309,230,240
1386,2826,330,229,241
1387,2828,320,228,240
1388,2830,327,229,240
1389,2832,321,229,242
1390,2834,331,228,242
1391,2836,349,229,241
1392,2838,348,229,242
1393,2840,324,230,241
1394,2842,314,229,239
1395,2844,298,229,240
1396,2846,318,228,240
1397,2848,319,229,241
1398,2850,321,228,241
1399,2852,320,228,241
1400,2854,335,230,242
1401,2856,354,229,239
1402,2858,352,229,241
1403,2860,332,228,241
1404,2862,310,228,241
1405,2864,309,228,240
1406,2866,325,229,243
1407,2868,330,228,240
1408,2870,324,228,239
1409,2872,324,229,240
1410,2874,332,230,240
1411,2876,352,229,242
1412,2878,348,229,242
1413,2880,340,228,239
1414,2882,313,229,241
1415,2884,310,230,241
1416,2886,325,228,241
1417,2888,322,227,242
1418,2890,329,229,243
1419,2892,326,230,241
1420,2894,332,229,242
1421,2896,355,229,241
1422,2898,344,229,241
1423,2900,332,229,243
1424,2902,313,229,242
1425,2904,307,229,243
1426,2906,331,230,243
1427,2908,327,229,243
1428,2910,331,229,241
1429,2912,322,229,243
1430,2914,314,229,241
1431,2916,354,229,243
1432,2918,354,230,242
1433,2920,328,230,243
1434,2922,324,230,242
1435,2924,315,229,244
1436,2926,328,229,242
1437,2928,331,229,243
1438,2930,327,230,243
1439,2932,338,229,242
1440,2934,316,229,241
1441,2936,349,230,243
1442,2938,326,230,245
1443,2940,323,229,243
1444,2942,309,229,244
1445,2944,302,229,244
1446,2946,304,229,244
1447,2948,310,229,246
1448,2950,306,229,242
1449,2952,291,228,243
1450,2954,312,228,245
1451,2956,328,229,242
1452,2958,322,230,246
1453,2960,299,229,242
1454,2962,296,228,244
1455,2964,299,229,242
1456,2966,321,228,241
1457,2968,320,229,244
1458,2970,323,229,244
1459,2972,322,229,245
1460,2974,333,229,242
1461,2976,353,228,244
1462,2978,341,230,243
1463,2980,324,228,243
1464,2982,298,229,242
1465,2984,296,230,244
1466,2986,299,229,246
1467,2988,294,229,244
1468,2990,314,229,245
1469,2992,323,229,243
1470,2994,327,228,243
1471,2996,354,229,245
1472,2998,349,229,243
1473,3000,307,229,244
1474,3002,289,229,245
1475,3004,299,228,243
1476,3006,316,229,242
1477,3008,298,228,243
1478,3010,310,229,244
1479,3012,292,228,245
1480,3014,286,229,242
1481,3016,323,228,244
1482,3018,331,229,242
1483,3020,322,229,244
1484,3022,283,229,245
1485,3024,285,228,242
1486,3026,303,228,245
1487,3028,318,228,243
1488,3030,308,229,243
1489,3032,297,229,244
1490,3034,300,229,243
1491,3036,328,229,244
1492,3038,331,229,245
1493,3040,307,228,244
1494,3042,283,229,243
1495,3044,275,227,246
1496,3046,315,228,244
1497,3048,305,227,246
1498,3050,300,228,245
1499,3052,309,228,245
1500,3054,298,229,244
1501,3056,323,228,245
1502,3058,315,227,244
1503,3060,303,228,245
1504,3062,282,228,244
1505,3064,278,228,243
1506,3066,296,228,245
1507,3068,295,228,244
1508,3070,301,229,242
1509,3072,295,227,243
1510,3074,319,228,245
1511,3076,350,229,245
1512,3078,337,228,245
1513,3080,332,228,246
1514,3082,300,229,245
